UniProt	Disorder content (%)
O15118	14.63
O31818	48.05
O43521	55.56
O60260	17.85
O67086	74.58
O95071	0.43
O95155	1.54
P01112	22.22
P01116	17.99
P02640	4.96
P03040	16.67
P03069	67.97
P03433	3.63
P04035	3.15
P04049	4.17
P04147	14.56
P04386	4.31
P04610	100.00
P04626	21.35
P04637	87.79
P05067	5.19
P05121	9.70
P05434	13.61
P07550	17.43
P08581	1.44
P0ABQ4	32.70
P0AFF6	59.60
P0AFW0	8.64
P0DP23	8.05
P0DTC2	28.04
P0DTD1	4.72
P12931	15.67
P15382	50.39
P15391	2.70
P28482	8.33
P29990	1.24
P35520	7.26
P37231	59.21
P37840	100.00
P38398	83.20
P38428	36.95
P42574	15.16
P42898	1.68
P46937	25.99
P51587	7.49
P54725	40.50
P55210	4.95
P60484	18.61
P63165	17.82
P78352	9.81
Q13148	36.71
Q13526	7.36
Q8RY59	11.21
Q99801	78.63
Q99IB8	6.73
Q9BX66	1.32
Q9BYF1	4.60
Q9UQ13	14.60
