UniProt	Disorder content (%)
O15118	12.36
O31818	46.75
O43521	54.55
O60260	15.48
O67086	72.88
O95071	0.32
O95155	1.46
P01112	10.05
P01116	16.93
P02640	4.84
P03040	15.15
P03069	46.98
P03433	3.49
P04035	3.04
P04049	2.93
P04147	14.38
P04386	4.20
P04610	98.84
P04626	21.27
P04637	36.90
P05067	5.06
P05121	3.73
P05434	13.02
P07550	17.19
P08581	1.37
P0ABQ4	25.16
P0AFF6	59.39
P0AFW0	8.02
P0DP23	6.04
P0DTC2	27.10
P0DTD1	4.61
P12931	15.49
P15382	48.06
P15391	2.52
P28482	7.78
P29990	0.59
P35520	7.08
P37231	57.82
P37840	99.29
P38398	83.15
P38428	9.85
P42574	14.08
P42898	1.52
P46937	24.01
P51587	6.90
P54725	39.67
P55210	4.62
P60484	18.11
P63165	16.83
P78352	9.67
Q13148	36.47
Q13526	6.75
Q8RY59	10.87
Q99801	47.86
Q99IB8	6.66
Q9BX66	1.24
Q9BYF1	4.47
Q9UQ13	14.43
